district,crop,croparea_ha,share_pct
Amreli,TOTAL,672904.2,100.0
Amreli,cotton,277160.4,41.19
Amreli,groundnut,223574.2,33.23
Amreli,wheat,45234.6,6.72
Amreli,millet,22422.4,3.33
Amreli,maize,13952.2,2.07
Amreli,sorghum,12579.0,1.87
Amreli,castor,10931.5,1.62
Amreli,bean,8314.7,1.24
Rajkot,TOTAL,701208.9,100.0
Rajkot,groundnut,224753.9,32.05
Rajkot,cotton,194686.7,27.76
Rajkot,wheat,186928.9,26.66
Rajkot,millet,20092.7,2.87
Rajkot,castor,11593.2,1.65
Rajkot,sorghum,11520.4,1.64
Rajkot,bean,9167.1,1.31
Rajkot,sesame,7362.1,1.05
Surendranagar,TOTAL,732305.8,100.0
Surendranagar,cotton,441394.5,60.27
Surendranagar,millet,53585.5,7.32
Surendranagar,wheat,47878.7,6.54
Surendranagar,groundnut,30867.6,4.22
Surendranagar,castor,26862.2,3.67
Surendranagar,sorghum,24182.1,3.3
Surendranagar,maize,19692.5,2.69
Surendranagar,sesame,15011.9,2.05
Morbi,TOTAL,415137.0,100.0
Morbi,cotton,196728.9,47.39
Morbi,groundnut,88927.9,21.42
Morbi,wheat,47313.2,11.4
Morbi,millet,20700.7,4.99
Morbi,sorghum,10059.6,2.42
Morbi,castor,9834.0,2.37
Morbi,sesame,5619.8,1.35
Morbi,fornes,4235.3,1.02
Bhavnagar,TOTAL,541177.9,100.0
Bhavnagar,cotton,307921.7,56.9
Bhavnagar,groundnut,89142.0,16.47
Bhavnagar,millet,28207.7,5.21
Bhavnagar,wheat,28055.9,5.18
Bhavnagar,sorghum,13783.8,2.55
Bhavnagar,maize,12606.9,2.33
Bhavnagar,castor,11622.0,2.15
Bhavnagar,bean,7473.3,1.38
Ahmadabad,TOTAL,556293.8,100.0
Ahmadabad,cotton,211961.3,38.1
Ahmadabad,wheat,138703.7,24.93
Ahmadabad,rice,41346.0,7.43
Ahmadabad,millet,26234.1,4.72
Ahmadabad,maize,23442.2,4.21
Ahmadabad,chickpea,14475.6,2.6
Ahmadabad,sorghum,13038.2,2.34
Ahmadabad,castor,12765.6,2.29
Jamnagar,TOTAL,557501.8,100.0
Jamnagar,groundnut,218068.0,39.12
Jamnagar,cotton,133458.3,23.94
Jamnagar,wheat,76884.0,13.79
Jamnagar,millet,28079.4,5.04
Jamnagar,sorghum,13629.4,2.44
Jamnagar,castor,11014.8,1.98
Jamnagar,chickpea,6488.9,1.16
Jamnagar,pulsenes,6450.4,1.16
Surat,TOTAL,298704.7,100.0
Surat,sugarcane,83039.1,27.8
Surat,rice,45864.3,15.35
Surat,pigeonpea,25791.7,8.63
Surat,millet,20985.9,7.03
Surat,soybean,17313.8,5.8
Surat,cotton,11089.0,3.71
Surat,bean,10823.5,3.62
Surat,groundnut,10291.4,3.45
Patan,TOTAL,402469.0,100.0
Patan,cotton,85384.9,21.22
Patan,rapeseed,72339.1,17.97
Patan,wheat,45965.5,11.42
Patan,bean,39070.8,9.71
Patan,millet,31913.8,7.93
Patan,maize,17595.4,4.37
Patan,castor,15515.9,3.86
Patan,sorghum,14494.4,3.6
Kheda,TOTAL,283681.2,100.0
Kheda,rice,57573.9,20.3
Kheda,wheat,52561.9,18.53
Kheda,cotton,35599.6,12.55
Kheda,tobacco,27154.5,9.57
Kheda,maize,17146.6,6.04
Kheda,millet,16327.9,5.76
Kheda,castor,8809.0,3.11
Kheda,potato,8713.5,3.07
Chhota Udaipur,TOTAL,289701.8,100.0
Chhota Udaipur,cotton,72292.7,24.95
Chhota Udaipur,pigeonpea,38831.2,13.4
Chhota Udaipur,soybean,36688.1,12.66
Chhota Udaipur,rice,20599.0,7.11
Chhota Udaipur,maize,16563.1,5.72
Chhota Udaipur,millet,15787.2,5.45
Chhota Udaipur,wheat,12633.1,4.36
Chhota Udaipur,groundnut,8518.6,2.94
Gandhinagar,TOTAL,166578.7,100.0
Gandhinagar,cotton,46070.7,27.66
Gandhinagar,wheat,17952.3,10.78
Gandhinagar,rapeseed,14035.4,8.43
Gandhinagar,millet,11810.8,7.09
Gandhinagar,bean,10932.7,6.56
Gandhinagar,rice,9019.3,5.41
Gandhinagar,potato,8304.1,4.99
Gandhinagar,sorghum,5351.3,3.21
Sabar Kantha,TOTAL,336306.7,100.0
Sabar Kantha,wheat,93857.5,27.91
Sabar Kantha,cotton,57124.9,16.99
Sabar Kantha,groundnut,25654.5,7.63
Sabar Kantha,maize,20090.6,5.97
