district,year,residue_tonnes
Ahmadabad,2010,3260600.0
Ahmadabad,2011,2740640.0
Ahmadabad,2012,2145060.0
Ahmadabad,2013,2269934.3
Ahmadabad,2014,2080649.2
Ahmadabad,2015,2036892.9
Ahmadabad,2016,2037511.8
Ahmadabad,2017,2129245.3
Ahmadabad,2018,1536057.1
Ahmadabad,2019,1962824.8
Ahmadabad,2020,2078665.2
Ahmadabad,2021,1525003.68
Ahmadabad,2022,2053463.9
Amreli,2010,4198540.0
Amreli,2011,3296710.0
Amreli,2012,807900.0
Amreli,2013,6345968.1
Amreli,2014,2396662.5
Amreli,2015,3463935.2
Amreli,2016,2130108.7
Amreli,2017,2794776.2
Amreli,2018,1787892.0
Amreli,2019,5001655.7
Amreli,2020,3168385.8
Amreli,2021,955143.3099999999
Amreli,2022,4476339.6
Anand,2010,904600.0
Anand,2011,1024040.0
Anand,2012,1002180.0
Anand,2013,1160862.9
Anand,2014,1061399.6
Anand,2015,1045680.3
Anand,2016,958740.9
Anand,2017,960042.1
Anand,2018,976395.0
Anand,2019,833271.7
Anand,2020,920782.9
Anand,2021,964967.36
Anand,2022,1052924.8
Aravalli,2014,1136414.3
Aravalli,2015,1139957.9
Aravalli,2016,974913.6
Aravalli,2017,1210009.4
Aravalli,2018,1417115.4
Aravalli,2019,1150894.9
Aravalli,2020,932518.2
Aravalli,2021,924460.41
Aravalli,2022,1181004.3
Banas Kantha,2010,2599500.0
Banas Kantha,2011,3253010.0
Banas Kantha,2012,2935680.0
Banas Kantha,2013,2909465.2
Banas Kantha,2014,3070409.8
Banas Kantha,2015,2412913.1
Banas Kantha,2016,2922515.9
Banas Kantha,2017,3140531.9
Banas Kantha,2018,2879005.0
Banas Kantha,2019,3340313.0
Banas Kantha,2020,3627331.9
Banas Kantha,2021,3105279.42
Banas Kantha,2022,3696178.4
Bharuch,2010,1394790.0
Bharuch,2011,1398590.0
Bharuch,2012,1156760.0
Bharuch,2013,1346853.2
Bharuch,2014,1615475.0
Bharuch,2015,1188527.2
Bharuch,2016,1106019.1
Bharuch,2017,1512122.5
Bharuch,2018,1548830.9
Bharuch,2019,1819898.3
Bharuch,2020,2775923.2
Bharuch,2021,2051717.7499999998
Bharuch,2022,1924023.9
Bhavnagar,2010,4981060.0
Bhavnagar,2011,3738320.0
Bhavnagar,2012,1690880.0
Bhavnagar,2013,3991671.2
Bhavnagar,2014,2035721.0
Bhavnagar,2015,2111604.2
Bhavnagar,2016,2165633.0
Bhavnagar,2017,3062683.6
Bhavnagar,2018,1797757.7
Bhavnagar,2019,3216957.9
Bhavnagar,2020,2725387.3
Bhavnagar,2021,687091.77
Bhavnagar,2022,2783546.2
Botad,2014,2524378.2
Botad,2015,2428119.6
Botad,2016,1553762.8
Botad,2017,2918617.1
Botad,2018,1258100.2
Botad,2019,1612737.4
Botad,2020,1856592.9
Botad,2021,237325.18
Botad,2022,2508931.8
Chhota Udaipur,2014,1650011.9
Chhota Udaipur,2015,1328332.4
Chhota Udaipur,2016,1492891.1
Chhota Udaipur,2017,1425641.8
Chhota Udaipur,2018,1605325.0
Chhota Udaipur,2019,1462847.2
Chhota Udaipur,2020,1306987.5
Chhota Udaipur,2021,277438.02
Chhota Udaipur,2022,1445649.9
Devbhumi Dwarka,2014,921650.6
Devbhumi Dwarka,2015,175174.5
Devbhumi Dwarka,2016,351154.8
Devbhumi Dwarka,2017,845195.0
Devbhumi Dwarka,2018,167104.1
Devbhumi Dwarka,2019,936663.4
Devbhumi Dwarka,2020,676544.4
Devbhumi Dwarka,2021,790867.7
Devbhumi Dwarka,2022,843772.7
Dohad,2010,692910.0
Dohad,2011,712370.0
Dohad,2012,934610.0
Dohad,2013,635538.6
Dohad,2014,589665.8
Dohad,2015,544245.2
Dohad,2016,751644.2
Dohad,2017,836627.1
Dohad,2018,941099.3
Dohad,2019,937724.2
Dohad,2020,877068.5
Dohad,2021,981796.8
Dohad,2022,1102655.9
Gandhinagar,2010,823850.0
Gandhinagar,2011,904780.0
Gandhinagar,2012,815150.0
Gandhinagar,2013,840921.8
Gandhinagar,2014,838351.5
Gandhinagar,2015,706881.8
Gandhinagar,2016,633604.4
Gandhinagar,2017,721219.6
Gandhinagar,2018,692750.4
Gandhinagar,2019,636917.0
Gandhinagar,2020,628205.3
Gandhinagar,2021,426185.17
