district,latitude,longitude,baseline_supply_2017,rolling_3yr_supply,trend_forecast_2018,predicted_supply_2018,trend_r2,confidence_score_heuristic,confidence_label,cropland_2017,avg_precipitation_2017,avg_elevation_2017,site_count_2017,residue_type,residue_type_source,harvest_window,supply_tier,rolling_3yr_2022,predicted_supply_2024,supply_source,supply_trend,predicted_supply_2025,predicted_supply_2026,trend_r2_2026,trend_forecast_2026,confidence_score_2026,confidence_label_2026,supply_2026_change_pct
Amreli,21.480991,71.329378,37242.91,33540.806,32989.178,33375.317,0.023,47.7,Low,7465.5,8.395,127.086,116,Groundnut shell / cotton stalk,official district crop profile,Sep–Nov (demo operational window),High,38200.332,38148.955,"2018 trend forecast extended with official DES Agristat district APY 2010-2022 (production x RPR residue, calibrated to Shell.ai units at 2017), projected iteratively to 2026","2010:55949.3,2011:43931.6,2012:10766.0,2013:84565.7,2014:31937.7,2015:46160.1,2016:28385.6,2017:37242.9,2018:23825.3,2019:66651.6,2020:42221.6,2021:12728.1,2022:59651.3,2024:38148.954804621855,2025:37067.37911043598,2026:42558.33578458004",37067.379,42558.336,0.008,37074.482,46.8,Low,27.5
Morbi,22.892876,70.994324,23320.198,19312.785,19386.985,19335.045,0.096,51.8,Low,4143.5,4.84,56.091,77,Mixed agricultural residue,demo assumption,Sep–Nov (demo operational window),High,34057.569,32576.19,"2018 trend forecast extended with official DES Agristat district APY 2010-2022 (production x RPR residue, calibrated to Shell.ai units at 2017), projected iteratively to 2026","2010:33679.7,2011:33679.7,2012:33679.7,2013:33679.7,2014:33679.7,2015:16729.2,2016:23350.1,2017:23320.2,2018:19462.0,2019:23719.7,2020:19172.5,2021:15317.1,2022:67683.1,2024:32576.18992953797,2025:36050.76037839933,2026:41432.69878543804",36050.76,41432.699,0.0,29146.62,41.9,Low,114.3
Rajkot,22.122745,70.709604,44996.159,21467.252,22480.176,21771.129,0.037,32.0,Low,6641.5,6.565,135.914,105,Groundnut shell / cotton stalk,official crop profile,Sep–Nov (demo operational window),High,29383.7,26785.937,"2018 trend forecast extended with official DES Agristat district APY 2010-2022 (production x RPR residue, calibrated to Shell.ai units at 2017), projected iteratively to 2026","2010:58699.8,2011:58111.2,2012:13940.3,2013:59491.8,2014:26915.4,2015:9824.8,2016:4233.4,2017:44996.2,2018:17957.3,2019:44986.0,2020:33340.5,2021:13752.9,2022:41057.7,2024:26785.937463814706,2025:25402.573649404625,2026:28090.158449633665",25402.574,28090.158,0.089,17688.167,51.2,Low,29.0
Jamnagar,22.459506,70.260924,25918.495,15548.442,18176.552,16336.875,0.076,39.5,Low,3691.5,5.821,53.167,72,Groundnut shell / cotton stalk,official district crop profile,Sep–Nov (demo operational window),High,16872.502,15784.916,"2018 trend forecast extended with official DES Agristat district APY 2010-2022 (production x RPR residue, calibrated to Shell.ai units at 2017), projected iteratively to 2026","2010:26117.3,2011:31925.5,2012:2932.2,2013:37968.9,2014:17538.7,2015:13568.6,2016:5301.7,2017:25918.5,2018:10436.8,2019:19467.5,2020:16622.9,2021:6805.1,2022:27189.5,2024:15784.915781142732,2025:15640.48496475002,2026:17720.400592672086",15640.485,17720.401,0.058,11909.149,49.4,Low,8.5
Surendranagar,22.892453,71.594366,22698.586,20535.134,20879.435,20638.424,0.063,54.8,Low,5338.0,4.971,64.312,96,Groundnut shell / cotton stalk,official crop profile,Sep–Nov (demo operational window),High,16518.438,15413.562,"2018 trend forecast extended with official DES Agristat district APY 2010-2022 (production x RPR residue, calibrated to Shell.ai units at 2017), projected iteratively to 2026","2010:29082.4,2011:31893.0,2012:10287.3,2013:24862.2,2014:21002.6,2015:22944.2,2016:14399.7,2017:22698.6,2018:13272.3,2019:17470.1,2020:18818.0,2021:5265.6,2022:25471.8,2024:15413.561769277749,2025:14613.656566988806,2026:16715.4058355545",14613.657,16715.406,0.2,11093.095,54.6,Low,-19.0
Bhavnagar,21.621486,71.956497,24931.391,19390.101,18307.13,19065.21,0.06,50.1,Low,4625.0,8.734,41.33,100,Groundnut shell,official crop profile,Sep–Nov (demo operational window),High,16812.655,15534.259,"2018 trend forecast extended with official DES Agristat district APY 2010-2022 (production x RPR residue, calibrated to Shell.ai units at 2017), projected iteratively to 2026","2010:40547.7,2011:30431.3,2012:13764.4,2013:32493.7,2014:16571.5,2015:17189.2,2016:17629.1,2017:24931.4,2018:14634.4,2019:26187.2,2020:22185.7,2021:5593.2,2022:22659.1,2024:15534.259435663207,2025:13927.345532002066,2026:15685.797876676756",13927.346,15685.798,0.245,10211.902,57.0,Moderate,-17.7
Ahmadabad,22.862573,72.16126,17041.899,17461.897,16075.469,17045.968,0.103,58.7,Moderate,5619.0,5.757,23.686,102,Rice straw / mixed residue,official crop profile,Sep–Nov (demo operational window),High,15092.716,14073.618,"2018 trend forecast extended with official DES Agristat district APY 2010-2022 (production x RPR residue, calibrated to Shell.ai units at 2017), projected iteratively to 2026","2010:26097.0,2011:21935.3,2012:17168.5,2013:18167.9,2014:16652.9,2015:16302.7,2016:16307.7,2017:17041.9,2018:12294.2,2019:15709.9,2020:16637.1,2021:12205.7,2022:16435.4,2024:14073.618148083218,2025:13506.886526547285,2026:13778.05669718471",13506.887,13778.057,0.541,10332.034,76.0,High,-19.2
Surat,21.354159,73.02082,9735.6,10297.089,11023.635,10515.053,0.204,61.9,Moderate,2407.5,11.52,51.183,60,Rice straw,official crop profile,Sep–Nov (demo operational window),Medium,10254.379,10107.948,"2018 trend forecast extended with official DES Agristat district APY 2010-2022 (production x RPR residue, calibrated to Shell.ai units at 2017), projected iteratively to 2026","2010:11842.4,2011:11653.1,2012:2121.7,2013:9738.3,2014:11011.2,2015:8283.4,2016:9097.3,2017:9735.6,2018:9465.8,2019:8069.8,2020:10219.1,2021:10624.8,2022:9919.3,2024:10107.948438764666,2025:10130.864261669598,2026:10051.464303605428",10130.864,10051.464,0.006,9865.889,64.5,Moderate,-4.4
Patan,23.843651,71.73231,8750.403,10416.458,10315.406,10386.142,0.112,56.8,Moderate,5347.5,4.854,48.299,87,Cumin/fennel residue,official crop profile,Sep–Nov (demo operational window),Medium,9396.967,8962.626,"2018 trend forecast extended with official DES Agristat district APY 2010-2022 (production x RPR residue, calibrated to Shell.ai units at 2017), projected iteratively to 2026","2010:9444.8,2011:13235.2,2012:9622.0,2013:10467.2,2014:10758.1,2015:9091.9,2016:8530.3,2017:8750.4,2018:6420.6,2019:8188.3,2020:9262.7,2021:7315.2,2022:11613.0,2024:8962.625657792845,2025:8937.321474901059,2026:9343.163739510794",8937.321,9343.164,0.163,7576.84,61.6,Moderate,-10.0
Kheda,22.932698,72.947661,7675.523,8086.568,8499.148,8210.342,0.319,65.8,Moderate,3611.5,7.291,61.34,47,Rice straw,official crop profile,Sep–Nov (demo operational window),Medium,8120.053,7963.665,"2018 trend forecast extended with official DES Agristat district APY 2010-2022 (production x RPR residue, calibrated to Shell.ai units at 2017), projected iteratively to 2026","2010:9810.6,2011:9448.6,2012:8565.5,2013:9118.4,2014:7615.3,2015:6816.0,2016:7069.2,2017:7675.5,2018:9131.4,2019:8452.1,2020:8241.5,2021:7439.8,2022:8678.8,2024:7963.664614614358,2025:7908.269273161575,2026:8018.638903231902",7908.269,8018.639,0.138,7420.321,69.0,Moderate,-2.3
Tapi,21.296815,73.726413,4109.696,4507.959,5038.179,4667.025,0.302,63.4,Moderate,2740.0,11.262,121.578,64,Mixed agricultural residue,demo assumption,Sep–Nov (demo operational window),Low,5483.964,5732.615,"2018 trend forecast extended with official DES Agristat district APY 2010-2022 (production x RPR residue, calibrated to Shell.ai units at 2017), projected iteratively to 2026","2010:2078.9,2011:3338.9,2012:2018.4,2013:4434.7,2014:4285.5,2015:3660.3,2016:3863.0,2017:4109.7,2018:4858.3,2019:5045.8,2020:5441.4,2021:5153.3,2022:5857.2,2024:5732.614911325454,2025:5823.533670202474,2026:6005.31115359239",5823.534,6005.311,0.781,6849.74,90.8,High,28.7
